id,type,contentType,pagetitle,longtitle,description,alias,link_attributes,published,pub_date,unpub_date,parent,isfolder,introtext,content,richtext,template,menuindex,searchable,cacheable,createdby,createdon,editedby,editedon,deleted,deletedon,deletedby,publishedon,publishedby,menutitle,donthit,privateweb,privatemgr,content_dispo,hidemenu,class_key,context_key,content_type,uri,uri_override,hide_children_in_tree,show_in_tree,properties,alias_visible
<td valign=""bottom"" width=""67"">
<p align=""center"">5</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""center"">6</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""center"">7</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""center"">8</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""center"">9</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1</p>
</td>
<td valign=""bottom"" width=""223"">
<p>Повна собівартість, у тому числі:</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 320,15</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 430,58</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">108,4</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 320,15</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 430,58</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">108,4</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.1</p>
</td>
<td valign=""bottom"" width=""223"">
<p>витрати на паливо</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.1.1</p>
</td>
<td valign=""bottom"" width=""223"">
<p>природний газ</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p> </p>
</td>
<td valign=""bottom"" width=""67"">
<p> </p>
</td>
<td valign=""bottom"" width=""44"">
<p> </p>
</td>
<td valign=""bottom"" width=""67"">
<p> </p>
</td>
<td valign=""bottom"" width=""67"">
<p> </p>
</td>
<td valign=""bottom"" width=""44"">
<p> </p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.1.2</p>
</td>
<td valign=""bottom"" width=""223"">
<p>тверде паливо</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">784,56</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.2</p>
</td>
<td valign=""bottom"" width=""223"">
<p>електроенергія</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">59,67</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">70,20</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">117,6</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">59,67</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">70,20</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">117,6</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.3</p>
</td>
<td valign=""bottom"" width=""223"">
<p>вода для технологічних потреб та водовідведення</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">3,39</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">3,92</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">115,6</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">3,39</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">3,92</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">115,6</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.4</p>
</td>
<td valign=""bottom"" width=""223"">
<p>витрати на оплату праці з відрахуваннями на соціальні заходи</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">297,86</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">397,23</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">133,4</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">297,86</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">397,23</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">133,4</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.5</p>
</td>
<td valign=""bottom"" width=""223"">
<p>амортизаційні відрахування</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">92,21</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">92,21</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">92,21</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">92,21</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>1.6</p>
</td>
<td valign=""bottom"" width=""223"">
<p>інші витрати собівартості</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">82,46</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">82,46</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">82,46</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">82,46</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>2</p>
</td>
<td valign=""bottom"" width=""223"">
<p>Повна планова собівартість</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 320,15</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 430,58</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">108,4</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 320,15</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">1 430,58</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">108,4</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p>7</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""223"">
<p>Розрахунковий прибуток</p>
</td>
<td valign=""bottom"" width=""76"">
<p>%</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">19,97</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">18,43</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">92,3</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">19,97</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">18,43</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">92,3</p>
</td>
</tr>
<tr>
